,ACCESSNO,CATEGORYNO,SITE,SITENO,PROVENANCE
3_0571,3,571,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Bluehill Falls, Me. In pebbles below shell at 57cm. from top of heap from IC.2, Section 3E."
3_0572,3,572,Nevin Shell Heap.,Me.152/1,Section number - 4E Trench Number - IC.2 Excav Date - 00/00/36 Below shell and pebbles in humus.
3_0573,3,573,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.2 Bluehill Falls, Me. In black pebbles and humus."
3_0574,3,574,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.2 Bluehill Falls, Me. Top level of shell near ID.1/4E"
3_0575,3,575,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.1 Excav Date - 00/00/36 Bluehill Falls, Me. Top level of shell near ID.1/4E"
3_0576,3,576,Nevin Shell Heap.,Me.152/1,Section number - 4E Trench Number - IC.4 Excav Date - 00/00/36 In Shell.
3_0577,3,577,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Excav Date - 00/00/36 Just below shell. Bluehill Falls, Me."
3_0578,3,578,Nevin Shell Heap.,Me.152/1,Section number - 4E Trench Number - IC.3 Excav Date - 00/00/36 Just below shell in black soil.
3_0579,3,579,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Bluehill Falls, Me. In shell"
3_0580,3,580,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Excav Date - 00/00/36 Bluehill Falls, Me. In shell above plow line."
3_0581,3,581,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.1 Level Overflow: Below shell amoung charcoal, black soil, and surrounded casually by rocks Excav Date - 00/00/36"
3_0582,3,582,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Excav Date - 00/00/36 In humus below shells. Bluehill Falls, Me."
3_0583,3,583,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Excav Date - 00/00/36 In black humus. Bluehill Falls, Me."
3_0584,3,584,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.2 Excav Date - 00/00/36 Bluehill Falls, Me. In shell above plow line"
3_0585,3,585,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.2 Excav Date - 00/00/36 In pebbles in shell. Bluehill Falls, Me."
3_0586,3,586,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.2 Excav Date - 00/00/36 Bluehill Falls, Me. In humus."
3_0588,3,588,Nevin Shell Heap.,Me.152/1,"Top of shells and down into shells. Trench ID. 1 and 2. Section 4E. Locality - Bluehill Falls, ME"
3_0589,3,589,Nevin Shell Heap.,Me.152/1,"Trench ID.1, Section 4E. Upper level of shells above rocks of Hearth 4. Locality - Bluehill Falls, ME"
3_0590,3,590,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.1 In shells. Locality - Bluehill Falls, ME"
3_0591,3,591,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.3 In lower level of shell Locality - Bluehill Falls, ME"
3_0592,3,592,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.4 In shells - top to bottom. Locality - Bluehill Falls, ME"
3_0593,3,593,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.4 In shells. Locality - Bluehill Falls, ME"
3_0594,3,594,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 In shell Locality - Bluehill Falls, ME"
3_0595,3,595,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - IC.3 Locality - Bluehill Falls, ME"
3_0596,3,596,Nevin Shell Heap.,Me.152/1,"Section number - 4E Trench Number - ID.1 Hearth 4 Locality - Bluehill Falls, ME"
